catalogNumber,recordedBy,scientificName,family,institutionCode,continent,country,stateProvince,county,municipality,locality
TULV8660,T. B. Croat,Tectaria,DRYOPTERIDACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Chocó,Bagado,Sin especificar,"Along road between Pueblo Rico (Risaralda) and Istmina (Choco), along Quebrada Anton, 15 Km. W of Sta. Cecilia, 6 Km. W of Choco-Risaralda border, ca. 20 Km. E of Playa del Oro,"
TULV8662,T. B. Croat,Tectaria,DRYOPTERIDACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Chocó,Bagado,Sin especificar,"Along road between Pueblo Rico (Risaralda) and Istmina (Choco), along Quebrada Anton, 15 Km. W of Sta. Cecilia, 6 Km. W of Choco-Risaralda border, ca. 20 Km. E of Playa del Oro,"
TULV17770,"A. Castaño N, W. Devia",Tetrorchidium rubrivenium Poeepp.,EUPHORBIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Zarzal,Vallejuelo,Vía Vallejuelo Taguales
TULV18009,A. Castaño N.,Erythrina,FABACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Tuluá,Mateguadua,"Corregimiento de Mateguadua, Jardín Botánico Juan María Céspedes, orilla del río Tuluá, Bocatoma."
TULV18013,A. Castaño N.,Machaerium,FABACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buga,Sin especificar,Bosque Las Chatas
TULV17798,"A. Castaño N, W. Devia",Aegiphila truncata Moldenke,LAMIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Caldas,Pácora,Sin especificar,"Vía Pacora La felisa, potrero frente a Marmato"
TULV17807,"A. Castaño N, W. Devia",Aegiphila truncata Moldenke,LAMIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Obando,San Isidro,"Obando Via San Isidro, finca Cristales"
TULV17968,A. Castaño N.,Persea,LAURACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 2, individuo 48, Bosque Bernal."
TULV17974,A. Castaño N.,Persea,LAURACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 2, individuo 60, Bosque Bernal."
TULV16093,"W. Devia, J. Adarve",Beilschmiedia sulcata (Ruiz & Pav.) Kosterm.,LAURACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Restrepo,Muñeco,"Corregimiento Muñeco, Valle del Dorado, Finca la Loma, Propietario Gilberto Aristizabal"
TULV15139,W. Devia,Beilschmiedia sulcata (Ruiz & Pav.) Kosterm.,LAURACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Riofrío,Sin especificar,"Vía La Judea - La Zulia, Vereda Los Alpes"
TULV3920,W. Devia,Beilschmiedia sulcata (Ruiz & Pav.) Kosterm.,LAURACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Sevilla,Sin especificar,"Via Morro azul, Quebrada La Raquelita."
TULV16122,"W. Devia, J. Adarve",Beilschmiedia sulcata (Ruiz & Pav.) Kosterm.,LAURACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Restrepo,Muñeco,"Corregimiento Muñeco, Valle del Dorado, Finca la Loma, Propietario Gilberto Aristizabal"
TULV16079,"W. Devia, J. Adarve",Beilschmiedia sulcata (Ruiz & Pav.) Kosterm.,LAURACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Restrepo,Muñeco,"Corregimiento Muñeco, Valle del Dorado, Finca la Loma, Propietario Gilberto Aristizabal"
TULV7664,"W. Devia, R. Bernal, E. Linares",Beilschmiedia pendula (Sw.) Hemsl.,LAURACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Yotoco,Sin especificar,Reserva Natural SW de Buga.
TULV8568,T. B. Croat,Beilschmiedia pendula (Sw.) Hemsl.,LAURACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Yotoco,Sin especificar,"Cordillera Occidental, eastern slopes, along highway between Dapa and Loboguerrero at Parque Yotoco,"
TULV16080,"W. Devia, J. Adarve",Beilschmiedia pendula (Sw.) Hemsl.,LAURACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Restrepo,Muñeco,"Corregimiento Muñeco, Valle del Dorado, Finca la Loma, Propietario Gilberto Aristizabal"
TULV16092,"W. Devia, J. Adarve",Beilschmiedia pendula (Sw.) Hemsl.,LAURACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Restrepo,Muñeco,"Corregimiento Muñeco, Valle del Dorado, Finca la Loma, Propietario Gilberto Aristizabal"
TULV16096,"W. Devia, J. Adarve",Beilschmiedia pendula (Sw.) Hemsl.,LAURACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Restrepo,Muñeco,"Corregimiento Muñeco, Valle del Dorado, Finca la Loma, Propietario Gilberto Aristizabal"
TULV17942,A. Castaño N.,Grias  haughtii R. Knuth,LECYTHIDACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 1, individuo 1, Bosque Bernal."
TULV16525,"W. Devia, J. Adarve, A. Cruz, I.D.Devia, M.Rodriguez, C. Narvaez, S. Armero, J. C. Caicedo",Elaphoglossum,LOMARIOPSIDACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Nariño,Pasto,Mateguadua,"Jardín Botánico, a 450 m. de Montagas, dirección Norte. Transecto 20, ind 136 Cerro Morasurco."
TULV14886,"M. E. Morales, G. Lozano, M.P. Galeano, E. Palacios",Magnolia sambuensis (Pittier) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Cundinamarca,Yacopí,Guadualito,"Inspección de Policia de Guadualito, vereda de la laguna, por le filo de la montaña."
TULV15698,"W. Devia, J. Adarve & A. Cruz",Magnolia yarumalensis (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Risaralda,Santuario,San Rafael,"Planes San Rafael, PPI - IIAP, finca la Cumbre, Quebrada Risaralda, zona amortiguación PNN Tatama"
TULV15748,"W. Devia, J. Adarve & A. Cruz",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Risaralda,Santuario,San Rafael,"Planes San Rafael, Sector Manzanarez, finca Velandia, potrero las cabañas."
TULV15755,"W. Devia, J. Adarve & A. Cruz",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Risaralda,Santuario,Sin especificar,"Vereda La Cumbre, Finca Chipre, señor Vidalio Ledezma, Bosque frente a casa"
TULV15771,"W. Devia, J. Adarve & A. Cruz",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Risaralda,Santuario,San Rafael,"Planes San Rafael, PPI - IIAP, finca la Cumbre, Quebrada Risaralda, zona amortiguación PNN Tatama"
TULV16533,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buga,El Diamante,"Corregimiento El Diamante, finca El Geranio."
TULV16534,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buga,El Diamante,"Corregimiento El Diamante, finca de Doña Argenis."
TULV16537,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia wolfii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Caicedonia,Sin especificar,"Vereda Quince Letras, finca La Laguna, Don Fernando Ayala. En potrero, orilla de bosquecito."
TULV16538,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buga,La Habana,"Corregimiento La Habana, perimetro urbano, finca la Cabaña, De Alejandro Bertin. Orilla río Guadalajara."
TULV16539,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Calima El Darien,Sin especificar,"Darien, Vereda San José, finca El Carmen, a 4 Km perimetro urbano"
TULV16540,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,San Pedro,Buenos Áires,"Corregimiento Buenos Aires, Vereda la Pradera, finca El Pencil, de Don Emiro Boada, quebrada Mesones."
TULV16543,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bolivar,Primavera,"Corregimiento Primavera, Vereda La Grecia, Finca la Grecia, vía Primavera - Potosí."
TULV16544,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Ginebra,La Selva,"Corregimiento La Selva, Vereda Betania, Bocatoma Betania. Reserva de Bosque."
TULV16545,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Ginebra,La Selva,"Corregimiento La Selva, Vereda Jardín, finca La Esmeralda, Don Ramón Martinez."
TULV16546,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Ginebra,La Selva,"Corregimiento La Selva, Vereda Jardín, finca La Esmeralda, Don Ramón Martinez."
TULV16547,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Palmira,Tenjo,"Corregimiento Tenjo, vereda La Esmeralda, finca Herederos de Jose Pineda, a 16 Km. De Potrerito vía La Nevera."
TULV16548,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Tuluá,Monteloro,"Corregimiento Monteloro, Vereda Santa Elena, a 1.5 Km vía Monteloro - Piedritas."
TULV16549,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Tuluá,Monteloro,"Corregimiento Monteloro, Vereda Santa Elena, a 1.5 Km vía Monteloro - Piedritas."
TULV16550,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Tuluá,Venus,"Corregimiento Venus, Hacienda El Jardín, a 2 Km. Entrada por El Paraiso."
TULV16551,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Tuluá,La Moralia,"Corregimiento La Moralia, vereda La Paloma, finca La Paloma, propiedad de Daniel Ospina."
TULV16552,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Tuluá,San Rafael,"Corregimiento San Rafael, Vereda Tivolí, finca la Delia, limite con finca El brillante - Fabio A. Castaño. Bosquecito protegido."
TULV16554,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Tuluá,San Rafael,"Corregimiento San Rafael, Vereda Cocorna, finca frente a Escuela Luis Carlos Galan No. 120."
TULV16555,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Tuluá,San Rafael,"Corregimiento San Rafael, Vereda Cocorna, predio de Daniel Jaramillo, cerca de Escuela Luis Carlos Galan No. 120."
TULV16556,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia henaoi (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,La Cumbre,Bitaco,"Corregimiento Bitaco, vereda Chicoral, finca Barichara, de Don Carlos Mira."
TULV16557,"W. Devia, I. D. Devia, J. Diaz, J. Adarve",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Trujillo,Andinápolis,"Corregimiento Andinápolis, Vereda La Arauca, finca El Porvenir, de Don Cervando Gomez G."
TULV16559,"W. Devia A, A. Cruz",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,San Pedro,Buenos Áires,"Corregimiento Buenos Aires, Vereda La Siria, finca Santa Ana, en la vía La Siria - La Esmeralda."
TULV16560,"W. Devia A, A. Cruz",Magnolia wolfii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Caicedonia,Aures,"Corregimiento Aures, Vereda El Paraiso, fincal Los Corrales, de Doña Leonor Castellanos. Bosquecito parte alta de la casa, sector occidental."
TULV16561,"W. Devia A, A. Cruz",Magnolia wolfii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Caicedonia,Aures,"Corregimiento Aures, Vereda El Paraiso, fincal Los Corrales, de Doña Leonor Castellanos. Bosquecito parte alta de la casa, sector occidental."
TULV310,H. Cuadros,Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Yotoco,Sin especificar,"Reserva Natural de Yotoco, a cargo de la Universidad Nacional."
TULV5394,W. Devia,Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Tuluá,La Marina,"Corregimiento La Marina, El Paraiso."
TULV6494,"W. Devia, F. Prado",Magnolia gilbertoi (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,San Pedro,Buenos Áires,"Corregimiento Buenos Aires, La Siria, vía Buenos Aires-La Esmeralda."
TULV16562,"W. Devia A, A. Cruz",Magnolia wolfii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Caicedonia,Aures,"Corregimiento Aures, Vereda El Paraiso, fincal Los Corrales, de Doña Leonor Castellanos. Bosquecito parte baja de la casa, guadual, sector oriental."
TULV16563,"W. Devia A, A. Cruz, J. Diaz",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bolivar,La Tulia,"Corregimiento La Tulia, Vereda Potosi, sector de la Unión, vía a las pineras 6 Km ca."
TULV16564,"W. Devia A, A. Cruz, J. Diaz",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bolivar,La Tulia,"Corregimiento La Tulia, Vereda Potosi, sector Playa Rica, en la vía Potosi, Playa Rica. 3 Km."
TULV16565,"W. Devia A, A. Cruz",Magnolia hernandezii (Lozano) Govaerts,MAGNOLIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Obando,San Isidro,"Corregimiento San Isidro, Vereda El Porvenir, finca El Placer, entrada por donde don Carlos Blandón."
TULV17949,A. Castaño N.,Bunchosia,MALPIGHIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 1, individuo 20, Bosque Bernal."
TULV17973,A. Castaño N.,Bunchosia,MALPIGHIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 2, individuo 58, Bosque Bernal."
TULV17947,A. Castaño N.,Sterculia apetala (Jacq.) H.Karst.,MALVACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 1, individuo 13, Bosque Bernal."
TULV17954,A. Castaño N.,Quararibea duckei Huber,MALVACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 1, individuo 33, Bosque Bernal."
TULV17955,A. Castaño N.,Quararibea duckei Huber,MALVACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 1, individuo 40, Bosque Bernal."
TULV17975,A. Castaño N.,Quararibea duckei Huber,MALVACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 3, individuo 3, Bosque Bernal."
TULV17980,A. Castaño N.,Quararibea duckei Huber,MALVACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 3, individuo 26, Bosque Bernal."
TULV17982,A. Castaño N.,Sterculia colombiana Sprague,MALVACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, al lado del transecto 4, Bosque Bernal."
TULV17999,A. Castaño N.,Sida,MALVACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 5, individuo 14, Bosque Bernal."
TULV17773,"A. Castaño N, W. Devia",Miconia minutiflora (Bonpl.) DC.,MELASTOMATACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Zarzal,Vallejuelo,Vía Vallejuelo Taguales
TULV17958,A. Castaño N.,Miconia,MELASTOMATACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 2, individuo 2, Bosque Bernal."
TULV17959,A. Castaño N.,Guarea,MELIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 2, individuo 8, Bosque Bernal."
TULV17963,A. Castaño N.,Guarea,MELIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 2, individuo 32, Bosque Bernal."
TULV17993,A. Castaño N.,Trichilia pallida Sw.,MELIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 4, individuo 36, Bosque Bernal."
TULV18005,A. Castaño N.,Guarea,MELIACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 4, individuo 26, Bosque Bernal."
TULV17813,"A. Castaño N, W. Devia",Ficus insipida Willd.,MORACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Yotoco,Mediacanoa,"Corregimiento de Mediacanoa, vía Buenaventura"
TULV17881,"A. Castaño N, W. Devia",Ficus,MORACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,San Pedro,Todos lo Santos,"Corregimiento de Todos los Santos, vereda Totocal"
TULV17945,A. Castaño N.,Trophis caucana (Pittier) C.C. Berg,MORACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 1, individuo 6, Bosque Bernal."
TULV17952,A. Castaño N.,Pseudolmedia macrophylla Trécul,MORACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 1, individuo 28, Bosque Bernal."
TULV17953,A. Castaño N.,Pseudolmedia macrophylla Trécul,MORACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 1, individuo 31, Bosque Bernal."
TULV17956,A. Castaño N.,Trophis caucana (Pittier) C.C. Berg,MORACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 1, individuo 43, Bosque Bernal."
TULV17972,A. Castaño N.,Pseudolmedia macrophylla Trécul,MORACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 2, individuo 54, Bosque Bernal."
TULV17990,A. Castaño N.,Pseudolmedia macrophylla Trécul,MORACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 4, individuo 30, Bosque Bernal."
TULV17994,A. Castaño N.,Trophis caucana (Pittier) C.C. Berg,MORACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Bugalagrande,Galicia,"Corregimiento de Galicia, finca La Loma, transecto 4, individuo 40, Bosque Bernal."
TULV13079,"W. Devia, C. M. Taylor, A. Cogollo, A. Cruz",Ficus hartwegii Miq.,MORACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,Córdoba,"Corregimiento Cordoba, San Cipriano, Reserva Natural río Escalerete, Región Biogeográfica del Choco. Montaje parcelas permanentes Investigación-Cuad.:16,  Ind: 302"
TULV7447,"W. Devia, F. Prado",Ficus hartwegii Miq.,MORACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Valle del Cauca,Buenaventura,San Isidro,"Corregimiento San Isidro, Carton Colombia, frente a Canalete."
TULV7831,F. J. Roldan,Ficus hartwegii Miq.,MORACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Antioquia,Frontino,Nutibara,"Corregimiento Nutibara, cuenca alta del río Cuevas."
TULV1791,L. E. Forero,Trophis racemosa (L.) Urb.,MORACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Chocó,Palestina,Sin especificar,"Hoya del río San Juan, alrededores de Palestina."
TULV1792,L. E. Forero,Trophis racemosa (L.) Urb.,MORACEAE,Instituto para la Investigación y la Preservación del Patrimonio Cultural y Natural del Valle del Cauca,SA,Colombia,Chocó,Palestina,Sin especificar,"Hoya del río San Juan, alrededores de Palestina."
