#,Nombre,Número de Catálogo,Colector(es),Reino,Phylum,Clase,Orden,Familia,Género,País,Departamento,Municipio,Localidad,Latitud,Longitud
1,Achatocarpus nigricans Triana,TULV17802,"A. Castaño N, W. Devia",Plantae,Magnoliophyta,Magnoliopsida,Caryophyllales,ACHATOCARPACEAE,Achatocarpus,Colombia,Valle del Cauca,Obando,"Obando Via San Isidro, finca Cristales","04°34'02.2""N","75°57'45.3""W"
1088,Heliconia platystachys Baker,TULV9212,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Zarzal,"Corregimiento Corozal, a 1 Km. vía Corozal-Miravalles. Asociada a guadules.",Sin especificar,Sin especificar
1089,Heliconia platystachys Baker,TULV9213,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Zarzal,"Corregimiento Corozal, a 1 Km. vía Corozal-Miravalles. Asociada a guadules.",Sin especificar,Sin especificar
1090,Heliconia platystachys Baker,TULV9214,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Zarzal,"Corregimiento Corozal, a 1 Km. vía Corozal-Miravalles. Asociada a guadules.",Sin especificar,Sin especificar
1091,Heliconia platystachys Baker,TULV9215,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Zarzal,"Corregimiento Corozal, a 1 Km. vía Corozal-Miravalles. Asociada a guadules.",Sin especificar,Sin especificar
1092,Heliconia platystachys Baker,TULV9216,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Zarzal,"Corregimiento Corozal, a 1 Km. vía Corozal-Miravalles. Asociada a guadules.",Sin especificar,Sin especificar
1093,Heliconia mutisiana Cuatrec.,TULV9218,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,La Victoria,"Corregimiento Miravalles, a 3 Km. vía Miravalles-Riveralta. A orilla de Quebrada.","04°28'00''N","75°55'00''W"
1094,Heliconia mutisiana Cuatrec.,TULV9219,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,La Victoria,"Corregimiento Miravalles, a 3 Km. vía Miravalles-Riveralta. A orilla de Quebrada.","04°28'00''N","75°55'00''W"
1095,Heliconia cordata L.Andersson,TULV9220,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,La Victoria,"Corregimiento Miravalles, a 3 Km. vía Miravalles-Riveralta. A orilla de Quebrada.","04°28'00''N","75°55'00''W"
1096,Heliconia mutisiana Cuatrec.,TULV9221,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,La Victoria,"Corregimiento Riveralta, vía Riveralta-La Suiza.","04°28'00''N","75°55'00''W"
1097,Heliconia mutisiana Cuatrec.,TULV9222,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,La Victoria,"Corregimiento Riveralta, vía Riveralta-La Suiza.","04°28'00''N","75°55'00''W"
1098,Heliconia mutisiana Cuatrec.,TULV9223,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,La Victoria,"Corregimiento Riveralta, vía Riveralta-La Suiza.","04°28'00''N","75°55'00''W"
1099,Heliconia mutisiana Cuatrec.,TULV9224,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,La Victoria,"Corregimiento Riveralta, vía Riveralta-La Suiza.","04°28'00''N","75°55'00''W"
1100,Heliconia huilensis Abalo & G.Morales,TULV9225,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1101,Heliconia huilensis Abalo & G.Morales,TULV9226,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1102,Heliconia huilensis Abalo & G.Morales,TULV9227,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1103,Heliconia huilensis Abalo & G.Morales,TULV9228,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1104,Heliconia mutisiana Cuatrec.,TULV9229,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1105,Heliconia mutisiana Cuatrec.,TULV9230,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1106,Heliconia mutisiana Cuatrec.,TULV9231,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1107,Heliconia mutisiana Cuatrec.,TULV9232,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1108,Heliconia griggsiana L.B.Sm.,TULV9233,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1109,Heliconia griggsiana L.B.Sm.,TULV9234,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1110,Heliconia griggsiana L.B.Sm.,TULV9235,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1111,Heliconia griggsiana L.B.Sm.,TULV9236,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1112,Heliconia stricta Huber,TULV9237,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1113,Heliconia stricta Huber,TULV9238,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1114,Heliconia stricta Huber,TULV9239,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1115,Heliconia stricta Huber,TULV9240,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1116,Heliconia stricta Huber,TULV9241,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1117,Heliconia stricta Huber,TULV9242,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1118,Heliconia stricta Huber,TULV9243,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1119,Heliconia stricta Huber,TULV9244,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Risaralda,La Celia,"A 4 Km. de La Celia, vía a Villanueva, límites con Depatamento del Valle.","04°57'00''N","75°58'00''W"
1120,Heliconia,TULV9445,G. Morales,Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Bolivar,"Corr. Naranjal, via Naranjal-El Catre, a orilla de carretera.","04°20'00''N","76°27'00''W"
1121,Heliconia,TULV9446,G. Morales,Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Bolivar,"Corregimiento Naranjal, vía Naranjal-El Catre, a orilla de carretera.","04°20'00''N","76°27'00''W"
1122,Heliconia,TULV9447,G. Morales,Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Bolivar,"Corregimiento Naranjal, vía Naranjal-El Catre, a orilla de carretera.","04°20'00''N","76°27'00''W"
1123,Heliconia,TULV9448,G. Morales,Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Bolivar,"Corregimiento Naranjal, vía Naranjal-El Catre, a orilla de carretera.","04°20'00''N","76°27'00''W"
1124,Heliconia,TULV9449,G. Morales,Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Bolivar,"Corregimiento Naranjal, vía Naranjal-El Catre, a orilla de carretera.","04°20'00''N","76°27'00''W"
1125,Heliconia latispatha Benth.,TULV9724,W. Devia,Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Riofrío,"Corregimiento Salonica, Vereda Guayabal, Finca la Selva","04°09'00''N","76°21'00''W"
1126,Heliconia episcopalis Vell.,TULV9986,"W. Devia, H. Acevedo, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Cerrito,"Piedechinche, Museo de la Cana.",Sin especificar,Sin especificar
1127,Heliconia episcopalis Vell.,TULV9987,"W. Devia, H. Acevedo, A. Cruz",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Cerrito,"Piedechinche, Museo de la Cana.",Sin especificar,Sin especificar
1128,Heliconia combinata Abalo & G.Morales,TULV12183,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Bolivar,"Vía Naranjal-Catre, río Sanquinini.","04°20'00''N","76°27'00''W"
1129,Heliconia combinata Abalo & G.Morales,TULV12184,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Bolivar,"Vía Naranjal-Catre, río Sanquinini.","04°20'00''N","76°27'00''W"
1130,Heliconia combinata Abalo & G.Morales,TULV12185,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Bolivar,"Vía Naranjal-Catre, río Sanquinini.","04°20'00''N","76°27'00''W"
1131,Heliconia combinata Abalo & G.Morales,TULV12186,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Bolivar,"Vía Naranjal-Catre, río Sanquinini.","04°20'00''N","76°27'00''W"
1132,Heliconia combinata Abalo & G.Morales,TULV12187,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Bolivar,"Vía Naranjal-Catre, río Sanquinini.","04°20'00''N","76°27'00''W"
1133,Heliconia sp. nov.,TULV12188,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Bolivar,"Vía Naranjal-Catre, río Sanquinini.","04°20'00''N","76°27'00''W"
1134,Heliconia sp. nov.,TULV12189,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Bolivar,"Vía Naranjal-Catre, río Sanquinini.","04°20'00''N","76°27'00''W"
1135,Heliconia sp. nov.,TULV12457,"W. Devia, H. Acevedo",Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Bolivar,"Vía Naranjal-Catre, río Sanquinini.","04°20'00''N","76°27'00''W"
1136,Heliconia latispatha Benth.,TULV15015,W. Devia,Plantae,Magnoliophyta,Liliopsida,Zingiberales,HELICONIACEAE,Heliconia,Colombia,Valle del Cauca,Riofrío,"Corregimiento Salónica, Vereda Guayabal, Finca la Selva","04°10'12''N","76°21'00''W"
1137,Vismia  baccifera (L.) Planc. & Triana,TULV17900,"J. Home, J. D. Lozano, A. Giraldo",Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,HYPERICACEAE,Vismia,Colombia,Valle del Cauca,Cali,"Corregimiento Pance, parcelación Chorro de Plata cerca a estación de policía de La Vorágine, por el camino que conduce a la cascada Chorro de Plata.","3°20'41""N","76°36'7.4""W"
1138,Lacistema aggregatum (P.J.Bergius) Rusby,TULV16006,"W. Devia, J. Adarve",Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,LACISTEMATACEAE,Lacistema,Colombia,Valle del Cauca,El Dovio,"Finca Tapias, de los Urdinolas.","04°27'57''N","76°10'25''W"
1139,Lacistema aggregatum (P.J.Bergius) Rusby,TULV16046,"W. Devia, J. Adarve",Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,LACISTEMATACEAE,Lacistema,Colombia,Valle del Cauca,El Dovio,"Finca Tapias, de los Urdinolas.","04°27'57''N","76°10'25''W"
1140,Lacistema aggregatum (P.J.Bergius) Rusby,TULV16066,"W. Devia, J. Adarve",Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,LACISTEMATACEAE,Lacistema,Colombia,Valle del Cauca,El Dovio,"Finca Tapias, de los Urdinolas.","04°27'57''N","76°10'25''W"
1141,Lacistema aggregatum (P.J.Bergius) Rusby,TULV1028,H. Murphy,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,LACISTEMATACEAE,Lacistema,Colombia,Valle del Cauca,Buga,"Vía Darien, bosque de Los Muertos, secundary disturbed forest formely cafetale.",Sin especificar,Sin especificar
1142,Lacistema aggregatum (P.J.Bergius) Rusby,TULV1083,M. Monsalve,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,LACISTEMATACEAE,Lacistema,Colombia,Valle del Cauca,Riofrío,"Vía Salónica, Vereda. La Trinidad",Sin especificar,Sin especificar
1143,Lacistema aggregatum (P.J.Bergius) Rusby,TULV14933,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,LACISTEMATACEAE,Lacistema,Colombia,Valle del Cauca,Riofrío,"Vereda Las Melenas, frente a la finca las Delicias","04°10'12''N","76°21'00''W"
1144,Lacistema aggregatum (P.J.Bergius) Rusby,TULV14955,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,LACISTEMATACEAE,Lacistema,Colombia,Valle del Cauca,Riofrío,"Vereda Las Melenas, frente a la finca las Delicias","04°10'12''N","76°21'00''W"
1145,Lacistema aggregatum (P.J.Bergius) Rusby,TULV14979,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,LACISTEMATACEAE,Lacistema,Colombia,Valle del Cauca,Riofrío,"Vereda Las Melenas, frente a la finca las Delicias","04°10'12''N","76°21'00''W"
1146,Lacistema aggregatum (P.J.Bergius) Rusby,TULV15008,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,LACISTEMATACEAE,Lacistema,Colombia,Valle del Cauca,Riofrío,"Vereda Guayabal, Finca la Selva","04°09'00''N","76°21'00''W"
1147,Lacistema aggregatum (P.J.Bergius) Rusby,TULV15052,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,LACISTEMATACEAE,Lacistema,Colombia,Valle del Cauca,Riofrío,"Vía a Salonica, Compañía de electricidad, Finca San Antonio","04°09'53''N","76°19'18''W"
1148,Lacistema aggregatum (P.J.Bergius) Rusby,TULV15191,"W. Devia, J. Adarve",Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,LACISTEMATACEAE,Lacistema,Colombia,Valle del Cauca,Riofrío,"Compañía electricidad, finca San Antonio","04°09'57''N","76°20'06''W"
1149,Lacistema,TULV15988,"W. Devia, J. Adarve",Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,LACISTEMATACEAE,Lacistema,Colombia,Valle del Cauca,Toro,"Finca la Sonora, Vereda Guachal","04°39'35''N","76°03'45''W"
1150,Lacistema aggregatum (P.J.Bergius) Rusby,TULV17836,"A. Castaño N., W. Devia",Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,LACISTEMATACEAE,Lacistema,Colombia,Valle del Cauca,Cali,Vía Cali al corregimiento de Pance frente a la entrada al parque de la salud,"03°20'56.7''N","76°33'58.6''W"
1151,Lacistema,TULV2912,H. Cuadros,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,LACISTEMATACEAE,Lacistema,Colombia,Valle del Cauca,Tuluá,"Jardín Botánico Juan María Céspedes, Quebrada Valenzuela","04°01'42''N","76°10'08''W"
1152,Lacistema aggregatum (P.J.Bergius) Rusby,TULV4003,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,LACISTEMATACEAE,Lacistema,Colombia,Valle del Cauca,Riofrío,Vía Riofrío-Salónica.,"04°10'00''N","76°20'00''W"
1153,Lacistema aggregatum (P.J.Bergius) Rusby,TULV422,H. Cuadros,Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,LACISTEMATACEAE,Lacistema,Colombia,Valle del Cauca,Tuluá,"Quebrada Valenzuela, que desemboca al río Tuluá","04°01'42''N","76°10'08''W"
1154,Lacistema aggregatum (P.J.Bergius) Rusby,TULV17904,"J. Home, J. D. Lozano, A. Giraldo",Plantae,Magnoliophyta,Magnoliopsida,Malpighiales,LACISTEMATACEAE,Lacistema,Colombia,Valle del Cauca,Cali,"Corregimiento Pance, parcelación Chorro de Plata cerca a estación de policía de La Vorágine, por el camino que conduce a la cascada Chorro de Plata.","3°20'41""N","76°36'7.4""W"
1155,Hyptidendron arboreum (Benth.) Harley,TULV7983,D. D. Soejarto,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Hyptidendron,Colombia,Antioquia,Anorí,Corregimiento Providencia,Sin especificar,Sin especificar
1156,Hyptidendron arboreum (Benth.) Harley,TULV8784,D. D. Soejarto,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Hyptidendron,Colombia,Antioquia,Anorí,Corregimiento Providencia,Sin especificar,Sin especificar
1157,Ocimum,TULV15439,A. Giraldo,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Ocimum,Colombia,Santander,Cepitá,"Cañón de Chicamocha, a 10 minutos del pueblo por la carretera destapada que se desprende de la carretera principal que conduce de B/manga a Bogotá.  Bosque subxerofítico 30°C.",Sin especificar,Sin especificar
1158,Callicarpa acuminata Kunth,TULV1036,H. Murphy,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Callicarpa,Colombia,Valle del Cauca,Bugalagrande,"Corregimiento Ceilan, Hacienda La Luciana, Goverment owned recuperating property.",Sin especificar,Sin especificar
1159,Hyptis pectinata (L.) Poit.,TULV1179,H. Murphy,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Hyptis,Colombia,Valle del Cauca,Bugalagrande,"Corregimiento Ceilan, Hacienda La Luciana",Sin especificar,Sin especificar
1160,Congea tomentosa Roxb.,TULV12,H. Cuadros,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Congea,Colombia,Valle del Cauca,Tuluá,"Corregimiento Mateguadua, Jardín Botánico Juan María Céspedes","04°01'42""N","76°10'08""W"
1161,Congea tomentosa Roxb.,TULV13,H. Cuadros,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Congea,Colombia,Valle del Cauca,Tuluá,"Corregimiento Mateguadua, Jardín Botánico Juan María Céspedes","04°01'42""N","76°10'08""W"
1162,Congea tomentosa Roxb.,TULV14,H. Cuadros,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Congea,Colombia,Valle del Cauca,Tuluá,"Corregimiento Mateguadua, Jardín Botánico Juan María Céspedes","04°01'42""N","76°10'08""W"
1163,Congea tomentosa Roxb.,TULV15,H. Cuadros,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Congea,Colombia,Valle del Cauca,Tuluá,"Corregimiento Mateguadua, Jardín Botánico Juan María Céspedes","04°01'42""N","76°10'08""W"
1164,Leonotis nepetifolia (L.) R.Br.,TULV1512,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Leonotis,Colombia,Valle del Cauca,Versalles,"Vereda El Cedro, Riveras río Garrapatas y Quebrada Aguas Sucias","04°33'00''N","76°08'00''W"
1165,Salvia occidentalis Sw.,TULV17,I. Cabrera,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Salvia,Colombia,Valle del Cauca,Bolivar,"Vía Bolivar-Caramanta, Km. 5 arriba de Ricaurte, margen izquierda del río Cauca.",Sin especificar,Sin especificar
1166,Clerodendrum thomsoniae Balf.f.,TULV2081,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Clerodendrum,Colombia,Valle del Cauca,Tuluá,"Corregimiento Mateguadua, Jardín Botánico Juan María Céspedes","04°01'42""N","76°10'08""W"
1167,Aegiphila mollis Kunth,TULV2122,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Aegiphila,Colombia,Valle del Cauca,Tuluá,"Corregimiento Mateguadua, Jardín Botánico Juan María Céspedes","04°01'42""N","76°10'08""W"
1168,Hyptis obtusiflora C.Presl ex Benth,TULV2734,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Hyptis,Colombia,Valle del Cauca,Dagua,"Corregimiento El Danubio, Alto Anchicaya, a orilla de carretera.","03°37'00''N","76°53'00''W"
1169,Salvia rufula Kunth,TULV2904,H. Cuadros,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Salvia,Colombia,Valle del Cauca,Tuluá,"Corregimiento Mateguadua, Jardín Botánico Juan María Céspedes, Quebrada Valenzuela, que desemboca al rio Tulua,","04°01'42""N","76°10'08""W"
1170,Callicarpa,TULV2908,H. Cuadros,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Callicarpa,Colombia,Valle del Cauca,Tuluá,"Corregimiento Mateguadua, Jardín Botánico Juan María Céspedes, laderas en via de repoblacion natural piedemonte.","04°01'42""N","76°10'08""W"
1171,Callicarpa acuminata Kunth,TULV3291,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Callicarpa,Colombia,Valle del Cauca,San Pedro,"Finca La Cecilia, via Buenos Aires.","03°53'00''N","76°11'00''W"
1172,Ocimum basilicum L.,TULV3602,H. Cuadros,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Ocimum,Colombia,Valle del Cauca,Zarzal,"Corregimiento Vallejuelo, Unidad Regional de Salud.","04°25'00''N","75°52'00''W"
1173,Leonotis nepetifolia (L.) R.Br.,TULV4064,P. Silverstone,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Leonotis,Colombia,Valle del Cauca,Riofrío,"Madre Vieja de Madrigal, cerca a Estación de Policia.","04°11'00''N","76°16'00''W"
1174,Salvia rufula Kunth,TULV414,H. Cuadros,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Salvia,Colombia,Valle del Cauca,Tuluá,"Corregimiento Mateguadua, Jardín Botánico Juan María Céspedes, laderas en vía de repoblación natural piedemonte.","04°01'42""N","76°10'08""W"
1175,Callicarpa,TULV420,H. Cuadros,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Callicarpa,Colombia,Valle del Cauca,Tuluá,"Corregimiento Mateguadua, Jardín Botánico Juan María Céspedes, laderas en vía de repoblacion natural piedemonte.","04°01'42""N","76°10'08""W"
1176,Salvia leucantha Cav.,TULV5486,W. Devia,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Salvia,Colombia,Valle del Cauca,Cerrito,"Hacienda El Paraiso, Flora ornamental de la casa La María.","03°38'00''N","76°09'00''W"
1177,Hyptis suaveolens (L.) Poit,TULV5509,G. Parra,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Hyptis,Colombia,Valle del Cauca,Buga,"Corregimiento El Vinculo, Estación Biológica.","03°49'00''N","76°18'00''W"
1178,Ocimum campechianum Mill.,TULV5520,G. Parra,Plantae,Magnoliophyta,Magnoliopsida,Lamiales,LAMIACEAE,Ocimum,Colombia,Valle del Cauca,Buga,"Corregimiento El Vinculo, Estación Biológica.","03°49'00''N","76°18'00''W"
